px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
197.718	37.7289	2.14236	0.197996	0.0684392	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.200639
197.674	37.7285	2.06647	0.212339	0.0803448	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.600716
199.314	37.2872	1.9923	-0.435208	-0.401747	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	1.10685
199.324	37.2874	2.00168	-0.424609	-0.378952	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0310877
201.485	36.9971	2.02372	0.0363404	0.181281	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.40534
201.383	36.9966	1.87035	-0.062771	0.0483868	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	2.81093
202.963	36.4574	1.88598	-0.450588	-0.237224	202.962	36.4568	202.801	36.4213	1.50137	-0.353671	0.282469
202.929	36.4564	1.83426	-0.527372	-0.380342	202.65	37.2445	202.801	36.4213	1.50137	-0.353671	0.437373
204.076	36.1929	1.4289	-0.380607	-0.0254556	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	4.15534
204.055	36.1927	1.48368	-0.286916	0.165711	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.10727
